Virgin America,Booking Problems,@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢
Virgin America,Booking Problems,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
Virgin America,Booking Problems,@VirginAmerica Just DM'd. Same issue persisting.
Virgin America,Booking Problems,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
Virgin America,Booking Problems,@VirginAmerica trying to book a flight &amp; your site is down 😁
Virgin America,Booking Problems,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
Virgin America,Booking Problems,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
Virgin America,Booking Problems,@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?
Virgin America,Booking Problems,@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!
Virgin America,Booking Problems,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
Virgin America,Food,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
Virgin America,Flight Attendant Complaints,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
Virgin America,Flight Attendant Complaints,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
Virgin America,Flight Attendant Complaints,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
Virgin America,Flight Attendant Complaints,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
Virgin America,Flight Attendant Complaints,@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!
Virgin America,Delayed Flight,@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining
Virgin America,Delayed Flight,@VirginAmerica Another delayed flight? #likingyoulessandless
Virgin America,Cancelled Flight,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
Virgin America,Cancelled Flight,@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)
Virgin America,Cancelled Flight,@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(
Virgin America,Cancelled Flight,@VirginAmerica While other airlines weren't Cancelled Flighting flights into BOS, and helping their customers get home, Virgin was saying Good luck!
Virgin America,Cancelled Flight,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
Virgin America,Cancelled Flight,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
Virgin America,Cancelled Flight,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
Virgin America,Cancelled Flight,@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?
